11:21:08.211 [main] ERROR com.stormpath.App - Enter...
11:21:08.211 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
11:21:08.445 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
11:21:08.445 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
11:21:08.445 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
11:21:08.460 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
11:21:08.460 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
11:21:08.460 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
11:21:08.460 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
11:21:08.460 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@304e5770password: 3214321400a
11:21:08.460 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
11:21:08.460 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
11:21:08.460 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
11:24:20.537 [main] ERROR com.stormpath.App - Enter...
11:24:20.537 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
11:24:20.771 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
11:24:20.771 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
11:24:20.771 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
11:24:20.771 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
11:24:20.771 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
11:24:20.771 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
11:24:20.771 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
11:24:20.771 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@304e5770password: 3214321400a
11:24:20.771 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
11:24:20.771 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
11:24:20.771 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
11:24:20.771 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
15:03:50.785 [main] ERROR com.stormpath.App - Enter...
15:03:50.800 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
15:03:51.144 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
15:03:51.144 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
15:03:51.144 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
15:03:51.160 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
15:03:51.160 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
15:03:51.160 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
15:03:51.160 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
15:03:51.160 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@38d50345password: 3214321400a
15:03:51.160 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
15:03:51.160 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
15:03:51.160 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
15:03:51.160 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
