19:58:50.492 [main] ERROR com.stormpath.App - Enter...
19:58:50.497 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
19:58:50.714 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
19:58:50.714 [main] INFO  com.stormpath.service.ServiceProvider - Info log is on.
19:58:50.714 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
19:58:50.715 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
19:58:50.715 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
19:58:50.718 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
19:58:50.718 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
19:58:50.719 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
19:58:50.719 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
19:58:50.720 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@2c53cfe3password: 3214321400a
19:58:50.720 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
19:58:50.720 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
19:58:50.720 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
19:58:50.720 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
19:59:20.921 [main] ERROR com.stormpath.App - Enter...
19:59:20.927 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
19:59:21.142 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
19:59:21.143 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
19:59:21.143 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
19:59:21.143 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
19:59:21.146 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
19:59:21.146 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
19:59:21.147 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
19:59:21.147 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
19:59:21.147 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@3596cd38password: 3214321400a
19:59:21.148 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
19:59:21.148 [main] INFO  com.stormpath.service.PasswordValidator - validating rule: Password must not contain any sequence of characters immediately followed by the same sequence
19:59:21.148 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validateCustom: customized rule: Password must not contain any sequence of characters immediately followed by the same sequence, password: 3214321400a
19:59:21.148 [main] INFO  com.stormpath.service.PasswordValidator - Password is: bad
20:00:10.131 [main] ERROR com.stormpath.App - Enter...
20:00:10.136 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:00:10.352 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
20:00:10.352 [main] ERROR com.stormpath.service.ServiceProvider - Error log is on.
20:00:27.045 [main] ERROR com.stormpath.App - Enter...
20:00:27.052 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setContext()
20:00:27.277 [main] INFO  com.stormpath.service.ServiceProvider - Enter...setRootLogLevel...setting logs
20:00:27.277 [main] INFO  com.stormpath.service.ServiceProvider - Debug log is on.
20:00:27.277 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getPasswordValidator()
20:00:27.277 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::password: 3214321400a
20:00:27.277 [main] INFO  com.stormpath.service.ServiceProvider - Enter...getRuleMgr()
20:00:27.280 [main] INFO  com.stormpath.service.PasswordRuleMgr - ...loading default rules...
20:00:27.281 [main] INFO  com.stormpath.service.PasswordRuleMgr - rule file:rules
20:00:27.281 [main] INFO  com.stormpath.service.PasswordRuleMgr - Password must not contain any sequence of characters immediately followed by the same sequence: custom
20:00:27.281 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...addRule:msg: Password must not contain any sequence of characters immediately followed by the same sequence, rule: custom
20:00:27.282 [main] INFO  com.stormpath.service.PasswordValidator - Enter...validate::mgr: com.stormpath.service.PasswordRuleMgr@16090d7apassword: 3214321400a
20:00:27.282 [main] INFO  com.stormpath.service.PasswordRuleMgr - Enter...getRuleMap
